,establishment_id,establishment_name,establishment_type,infraction_details,inspection_date,latitude_x,longitude_x,minimum_inspections_peryear,severity,insp_year,insp_month,attributes.AcceptsInsurance,attributes.AgesAllowed,attributes.Alcohol,attributes.Ambience.casual,attributes.Ambience.classy,attributes.Ambience.hipster,attributes.Ambience.intimate,attributes.Ambience.romantic,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.BestNights.friday,attributes.BestNights.monday,attributes.BestNights.saturday,attributes.BestNights.sunday,attributes.BestNights.thursday,attributes.BestNights.tuesday,attributes.BestNights.wednesday,attributes.BikeParking,attributes.BusinessAcceptsBitcoin,attributes.BusinessAcceptsCreditCards,attributes.BusinessParking.garage,attributes.BusinessParking.lot,attributes.BusinessParking.street,attributes.BusinessParking.valet,attributes.BusinessParking.validated,attributes.ByAppointmentOnly,attributes.Caters,attributes.CoatCheck,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.vegetarian,attributes.DogsAllowed,attributes.DriveThru,attributes.GoodForDancing,attributes.GoodForKids,attributes.GoodForMeal.breakfast,attributes.GoodForMeal.brunch,attributes.GoodForMeal.dessert,attributes.GoodForMeal.dinner,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.HairSpecializesIn.kids,attributes.HairSpecializesIn.straightperms,attributes.HappyHour,attributes.HasTV,attributes.Music.background_music,attributes.Music.dj,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.no_music,attributes.Music.video,attributes.NoiseLevel,attributes.Open24Hours,attributes.OutdoorSeating,attributes.RestaurantsAttire,attributes.RestaurantsCounterService,attributes.RestaurantsDelivery,attributes.RestaurantsGoodForGroups,attributes.RestaurantsPriceRange2,attributes.RestaurantsReservations,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.Smoking,attributes.WheelchairAccessible,attributes.WiFi,categories,city,neighborhood,review_count,stars,Monday Start_time,Tuesday Start_time,Wednesday Start_time,Thursday Start_time,Friday Start_time,Saturday Start_time,Sunday Start_time,Monday Close_time,Tuesday Close_time,Wednesday Close_time,Thursday Close_time,Friday Close_time,Saturday Close_time,Sunday Close_time,insp_day,insp_day_of_week
0,10552380,panda chef wok and sushi,Food Take Out,Operator fail to use proper utensils to ensure food safety,2018-06-25,43.726893650200005,-79.4807561982,2,S - Significant,2018,6,0,allages,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,casual,0.0,1.0,1.0,2.0,0.0,0.0,1.0,,0.0,,"['Chinese', 'Restaurants', 'Japanese']",Toronto,Downsview,6,3.5,11.0,11.0,11.0,11.0,11.0,12.0,13.0,22.0,22.0,22.0,22.0,23.0,23.0,22.0,25,0
1,10373911,salmon lovers,Restaurant,Operator fail to properly maintain equipment(NON-FOOD),2018-06-25,43.654476,-79.39116999999997,2,M - Minor,2018,6,0,allages,beer_and_wine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quiet,0.0,0.0,casual,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,0.0,free,"['Japanese', 'Restaurants', 'Sushi Bars']",Toronto,Downtown Core,29,4.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,25,0
2,10525618,papa john's,Food Take Out,,2018-06-25,43.6578646397,-79.3724758912,2,NA - Not Applicable,2018,6,0,allages,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quiet,0.0,0.0,casual,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,no,"['Restaurants', 'Pizza']",Toronto,,12,2.5,10.072541507024265,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,16.019667943805874,16.13717128642502,16.13717128642502,16.13717128642502,16.13717128642502,16.13717128642502,16.13717128642502,25,0
3,10572851,hale coffee,Restaurant,Operator fail to properly wash equipment,2018-06-25,43.6656878269,-79.450152448,2,M - Minor,2018,6,0,allages,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,1.0,free,"['Coffee & Tea', 'Coffee Roasteries', 'Food']",Toronto,The Junction,22,4.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,25,0
4,10561432,subway,Restaurant,Operator fail to provide proper garbage containers,2018-06-25,43.6888869516,-79.39471361359999,2,M - Minor,2018,6,0,allages,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,average,0.0,0.0,casual,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,no,"['Sandwiches', 'Restaurants', 'Fast Food']",Toronto,Yonge and St. Clair,3,1.5,7.0,7.0,7.0,7.0,7.0,9.0,9.0,23.0,23.0,23.0,23.0,23.0,22.0,22.0,25,0
5,9414045,villa madina mediterranean cuisine,Food Court Vendor,Operator fail to provide hand washing supplies,2018-06-25,43.7762918562,-79.25802190479999,2,S - Significant,2018,6,0,allages,none,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,very_loud,0.0,0.0,casual,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,0.0,no,"['Fast Food', 'Middle Eastern', 'Restaurants']",Scarborough,Scarborough,7,2.0,10.072541507024265,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,16.019667943805874,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,25,0
6,10637394,hero certified burgers,Restaurant,Fail to Ensure the Presence of the Holder of a Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(a),2018-06-25,43.666757702700004,-79.3855340465,3,NA - Not Applicable,2018,6,0,allages,none,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,average,0.0,1.0,casual,0.0,1.0,1.0,2.0,0.0,0.0,1.0,,0.0,free,"['Restaurants', 'Burgers']",Toronto,Downtown Core,33,2.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,23.0,23.0,23.0,3.0,3.0,23.0,25,0
7,10388262,subway,Restaurant,USE FOOD PREPARATION EQUIPMENT NOT IN GOOD REPAIR O. REG  562/90 SEC. 18(B),2018-06-25,43.65466,-79.38927,2,S - Significant,2018,6,0,allages,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,"['Fast Food', 'Restaurants', 'Sandwiches']",Toronto,Downtown Core,4,3.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,25,0
8,10380639,fabbrica restaurant,Restaurant,FAIL TO STORE FOOD ON RACKS OR SHELVES O. REG  562/90 SEC. 23,2018-06-25,43.7366374745,-79.3447920202,2,S - Significant,2018,6,0,allages,full_bar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,average,0.0,1.0,casual,0.0,0.0,1.0,3.0,1.0,1.0,1.0,,1.0,free,"['Restaurants', 'Italian', 'Breakfast & Brunch', 'Pizza', 'Seafood', 'Mediterranean']",Toronto,,168,3.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0,22.0,22.0,23.0,0.0,0.0,22.0,25,0
9,10637452,buster's sea cove,Food Court Vendor,,2018-06-25,43.642848687,-79.383362314,2,NA - Not Applicable,2018,6,0,allages,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,casual,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,0.0,no,"['Mediterranean', 'Seafood', 'Restaurants']",Toronto,,24,3.5,10.072541507024267,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,10.225538971807628,16.019667943805874,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,16.137171286425016,25,0
